geometry,price,id,name,source,source_updated_at,updated_at,address,has_free,free_time,grace_period,basement,decks,building_type,gantry_height,night_parking,short_term_parking,payment_method,raw
"{""type""=>""Point"", ""coordinates""=>[103.84035147717205, 1.4148591539111117]}","",Y70M,BLK 506 YISHUN AVE 4,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 506 YISHUN AVE 4,true,SUN & PH FR 7AM-10.30PM,"",N,16,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44073.5278"", ""x_coord""=>""28782.6987"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 506 YISHUN AVE 4"", ""car_park_decks""=>""16"", ""_id""=>1601, ""car_park_no""=>""Y70M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.82745020968218, 1.4273011512658973]}","",Y7,BLK 701/716 & 701B YISHUN AVENUE 5,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 701/716 & 701B YISHUN AVENUE 5,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""45449.3008"", ""x_coord""=>""27346.9746"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 701/716 & 701B YISHUN AVENUE 5"", ""car_park_decks""=>""0"", ""_id""=>1600, ""car_park_no""=>""Y7"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8440804261116, 1.41601445902621]}","",Y69M,BLOCK 513 YISHUN STREET 51,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLOCK 513 YISHUN STREET 51,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44201.2772"", ""x_coord""=>""29197.6771"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLOCK 513 YISHUN STREET 51"", ""car_park_decks""=>""6"", ""_id""=>1599, ""car_park_no""=>""Y69M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8445955809507, 1.4183958303118906]}","",Y68M,BLK 504 YISHUN ST 51,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 504 YISHUN ST 51,true,SUN & PH FR 7AM-10.30PM,"",N,7,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44464.5975"", ""x_coord""=>""29255.0052"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 504 YISHUN ST 51"", ""car_park_decks""=>""7"", ""_id""=>1598, ""car_park_no""=>""Y68M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84358496682866, 1.4177604687541712]}","",Y68L,"BLKS 504A, 504B, 504C, 504D YISHUN ST 51",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"BLKS 504A, 504B, 504C, 504D YISHUN ST 51",false,NO,"",N,0,SURFACE CAR PARK,4.50,NO,NO,ELECTRONIC PARKING,"{""short_term_parking""=>""NO"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""44394.3419"", ""x_coord""=>""29142.5387"", ""free_parking""=>""NO"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLKS 504A, 504B, 504C, 504D YISHUN ST 51"", ""car_park_decks""=>""0"", ""_id""=>1597, ""car_park_no""=>""Y68L"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84089522538783, 1.4364621300364289]}","",Y67,"269A, 269B YISHUN ST 22",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"269A, 269B YISHUN ST 22",false,NO,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,COUPON PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""46462.2763"", ""x_coord""=>""28843.2023"", ""free_parking""=>""NO"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""269A, 269B YISHUN ST 22"", ""car_park_decks""=>""0"", ""_id""=>1596, ""car_park_no""=>""Y67"", ""type_of_parking_system""=>""COUPON PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84228792512894, 1.4337643309756953]}","",Y66M,BLK 317 YISHUN AVE 9,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 317 YISHUN AVE 9,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""46163.9678"", ""x_coord""=>""28998.1897"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 317 YISHUN AVE 9"", ""car_park_decks""=>""6"", ""_id""=>1595, ""car_park_no""=>""Y66M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84202223798827, 1.4326681544702302]}","",Y65M,BLK 315 YISHUN AVE 9,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 315 YISHUN AVE 9,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""46042.7580"", ""x_coord""=>""28968.6232"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 315 YISHUN AVE 9"", ""car_park_decks""=>""6"", ""_id""=>1594, ""car_park_no""=>""Y65M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84513219732985, 1.4324874657779352]}","",Y64M,BLK 334 YISHUN ST 31,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 334 YISHUN ST 31,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""46022.7799"", ""x_coord""=>""29314.7149"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 334 YISHUN ST 31"", ""car_park_decks""=>""6"", ""_id""=>1593, ""car_park_no""=>""Y64M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84502536458832, 1.4316455461491961]}","",Y63M,BLK 333 YISHUN ST 31,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 333 YISHUN ST 31,true,SUN & PH FR 7AM-10.30PM,"",N,6,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""45929.6846"", ""x_coord""=>""29302.8265"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 333 YISHUN ST 31"", ""car_park_decks""=>""6"", ""_id""=>1592, ""car_park_no""=>""Y63M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
