geometry,price,id,name,source,source_updated_at,updated_at,address,has_free,free_time,grace_period,basement,decks,building_type,gantry_height,night_parking,short_term_parking,payment_method,raw
"{""type""=>""Point"", ""coordinates""=>[103.8909830482031, 1.3642297587702277]}","",HG4,BLK 19-23 HOUGANG AVE 3,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 19-23 HOUGANG AVE 3,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,9.99,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""38475.2617"", ""x_coord""=>""34417.4102"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""9.99"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 19-23 HOUGANG AVE 3"", ""car_park_decks""=>""0"", ""_id""=>177, ""car_park_no""=>""HG4"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88596744678311, 1.3699427332052456]}","",HG39,HOUGANG SPORTS COMPLEX,HDB,2019-04-09,2019-04-09T00:00:00+00:00,HOUGANG SPORTS COMPLEX,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39106.9608"", ""x_coord""=>""33859.2191"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""HOUGANG SPORTS COMPLEX"", ""car_park_decks""=>""0"", ""_id""=>176, ""car_park_no""=>""HG39"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88969825557207, 1.372520195986454]}","",HG38,"BLK 508-517,520-533 HOUGANG AVENUE 10",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"BLK 508-517,520-533 HOUGANG AVENUE 10",true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39391.9731"", ""x_coord""=>""34274.4064"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 508-517,520-533 HOUGANG AVENUE 10"", ""car_park_decks""=>""0"", ""_id""=>175, ""car_park_no""=>""HG38"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88737033428117, 1.3730079662495402]}","",HG37,BLKS 501-507 HOUGANG AVENUE 8,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLKS 501-507 HOUGANG AVENUE 8,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,NO,ELECTRONIC PARKING,"{""short_term_parking""=>""NO"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39445.9023"", ""x_coord""=>""34015.3359"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLKS 501-507 HOUGANG AVENUE 8"", ""car_park_decks""=>""0"", ""_id""=>174, ""car_park_no""=>""HG37"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88760352564093, 1.3661178811189305]}","",HG36,"BLK 703-706,711-712 HOUGANG AVENUE 2",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"BLK 703-706,711-712 HOUGANG AVENUE 2",true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""38684.0320"", ""x_coord""=>""34041.3045"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 703-706,711-712 HOUGANG AVENUE 2"", ""car_park_decks""=>""0"", ""_id""=>173, ""car_park_no""=>""HG36"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88896335775729, 1.3664890559304048]}","",HG35,"BLK 701-702,707-710 HOUGANG AVENUE 2",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"BLK 701-702,707-710 HOUGANG AVENUE 2",true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""38725.0781"", ""x_coord""=>""34192.6367"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 701-702,707-710 HOUGANG AVENUE 2"", ""car_park_decks""=>""0"", ""_id""=>172, ""car_park_no""=>""HG35"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8815028142898, 1.369941804871776]}","",HG34,BLK 622-632 HOUGANG AVENUE 8,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 622-632 HOUGANG AVENUE 8,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39106.8477"", ""x_coord""=>""33362.3594"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 622-632 HOUGANG AVENUE 8"", ""car_park_decks""=>""0"", ""_id""=>171, ""car_park_no""=>""HG34"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88437479084277, 1.3695671050499596]}","",HG33,BLK 609-621 HOUGANG AVENUE 8,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 609-621 HOUGANG AVENUE 8,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39065.4219"", ""x_coord""=>""33681.9766"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 609-621 HOUGANG AVENUE 8"", ""car_park_decks""=>""0"", ""_id""=>170, ""car_park_no""=>""HG33"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88605983500746, 1.3713783916630282]}","",HG32,BLK 601-608 HOUGANG AVENUE 4,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 601-608 HOUGANG AVENUE 4,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39265.7089"", ""x_coord""=>""33869.4973"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 601-608 HOUGANG AVENUE 4"", ""car_park_decks""=>""0"", ""_id""=>169, ""car_park_no""=>""HG32"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8963175090697, 1.3754838774498543]}","",HG31,BLK 414-416 HOUGANG AVENUE 10,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 414-416 HOUGANG AVENUE 10,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39719.7005"", ""x_coord""=>""35011.0401"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 414-416 HOUGANG AVENUE 10"", ""car_park_decks""=>""0"", ""_id""=>168, ""car_park_no""=>""HG31"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8969655694286, 1.373258465282608]}","",HG30,BLK 464-468 HOUGANG AVENUE 10,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 464-468 HOUGANG AVENUE 10,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,2.90,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39473.6275"", ""x_coord""=>""35083.1678"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.90"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 464-468 HOUGANG AVENUE 10"", ""car_park_decks""=>""0"", ""_id""=>167, ""car_park_no""=>""HG30"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.87967326057858, 1.3842104494898735]}","",HG3D,BLK 998 BUANGKOK CRESCENT,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 998 BUANGKOK CRESCENT,false,NO,"",N,11,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""40684.5984"", ""x_coord""=>""33158.7215"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 998 BUANGKOK CRESCENT"", ""car_park_decks""=>""11"", ""_id""=>166, ""car_park_no""=>""HG3D"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88200518358488, 1.3867758584134495]}","",HG3C,BLK 996 BUANGKOK CRESCENT,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 996 BUANGKOK CRESCENT,false,NO,"",N,15,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,COUPON PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""40968.2736"", ""x_coord""=>""33418.2290"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 996 BUANGKOK CRESCENT"", ""car_park_decks""=>""15"", ""_id""=>165, ""car_park_no""=>""HG3C"", ""type_of_parking_system""=>""COUPON PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88162412805669, 1.3842990768668004]}","",HG3B,BLK 991 BUANGKOK LINK,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 991 BUANGKOK LINK,false,NO,"",N,7,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""40694.4027"", ""x_coord""=>""33375.8280"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 991 BUANGKOK LINK"", ""car_park_decks""=>""7"", ""_id""=>164, ""car_park_no""=>""HG3B"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88078712644459, 1.3854219357616047]}","",HG3A,BLK 997 BUANGKOK CRESCENT,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 997 BUANGKOK CRESCENT,false,NO,"",N,14,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,COUPON PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""40818.5609"", ""x_coord""=>""33282.6779"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 997 BUANGKOK CRESCENT"", ""car_park_decks""=>""14"", ""_id""=>163, ""car_park_no""=>""HG3A"", ""type_of_parking_system""=>""COUPON PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.89908018671404, 1.3723416045074281]}","",HG29,BLK 351-357 HOUGANG AVENUE 7,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 351-357 HOUGANG AVENUE 7,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39372.2520"", ""x_coord""=>""35318.5017"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 351-357 HOUGANG AVENUE 7"", ""car_park_decks""=>""0"", ""_id""=>162, ""car_park_no""=>""HG29"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.89885267841719, 1.3694959201240684]}","",HG26,BLK 335-341 HOUGANG AVENUE 7,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 335-341 HOUGANG AVENUE 7,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,0.00,YES,WHOLE DAY,COUPON PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""39057.5898"", ""x_coord""=>""35293.1914"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 335-341 HOUGANG AVENUE 7"", ""car_park_decks""=>""0"", ""_id""=>161, ""car_park_no""=>""HG26"", ""type_of_parking_system""=>""COUPON PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88688951974959, 1.3598266722963326]}","",HG25,BLK 205 HOUGANG STREET 21,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 205 HOUGANG STREET 21,false,NO,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37988.3801"", ""x_coord""=>""33961.8596"", ""free_parking""=>""NO"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 205 HOUGANG STREET 21"", ""car_park_decks""=>""0"", ""_id""=>160, ""car_park_no""=>""HG25"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.89169136526178, 1.3597974406733946]}","",HG24,BLK 247-254 HOUGANG AVENUE 3,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 247-254 HOUGANG AVENUE 3,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,5.00,NO,7AM-10.30PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37985.1602"", ""x_coord""=>""34496.2494"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""5.00"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 247-254 HOUGANG AVENUE 3"", ""car_park_decks""=>""0"", ""_id""=>159, ""car_park_no""=>""HG24"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.89154600072445, 1.3575119113338976]}","",HG23,BLK 239-246 HOUGANG STREET 22,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 239-246 HOUGANG STREET 22,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,NO,7AM-10.30PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37732.4375"", ""x_coord""=>""34480.0781"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 239-246 HOUGANG STREET 22"", ""car_park_decks""=>""0"", ""_id""=>158, ""car_park_no""=>""HG23"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88043207978346, 1.352472790357051]}","",HG22,BLK 154-157 HOUGANG STREET 11,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 154-157 HOUGANG STREET 11,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,NO,7AM-10.30PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37175.2101"", ""x_coord""=>""33243.2373"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 154-157 HOUGANG STREET 11"", ""car_park_decks""=>""0"", ""_id""=>157, ""car_park_no""=>""HG22"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88642714517701, 1.3502828405697755]}","",HG20,BLK 128-137 LORONG AH SOO,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 128-137 LORONG AH SOO,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,NO,7AM-10.30PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""36933.0703"", ""x_coord""=>""33910.4258"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 128-137 LORONG AH SOO"", ""car_park_decks""=>""0"", ""_id""=>156, ""car_park_no""=>""HG20"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88718142739955, 1.3794064758192344]}","",HG2D,"BLK 581,582 AND 582A BUANGKOK GREEN",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"BLK 581,582 AND 582A BUANGKOK GREEN",false,NO,"",N,0,SURFACE CAR PARK,0.00,NO,7AM-10.30PM,ELECTRONIC PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""40153.4168"", ""x_coord""=>""33994.2969"", ""free_parking""=>""NO"", ""gantry_height""=>""0.00"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 581,582 AND 582A BUANGKOK GREEN"", ""car_park_decks""=>""0"", ""_id""=>155, ""car_park_no""=>""HG2D"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.89722722791765, 1.370107145040173]}","",HG2C,BLK 364 / 365 UPP SERANGOON RD,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 364 / 365 UPP SERANGOON RD,false,NO,"",N,14,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""39125.1711"", ""x_coord""=>""35112.2965"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 364 / 365 UPP SERANGOON RD"", ""car_park_decks""=>""14"", ""_id""=>154, ""car_park_no""=>""HG2C"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88245550515047, 1.3755292405969615]}","",HG2B,BLK 933 HOUGANG AVENUE 9,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 933 HOUGANG AVENUE 9,false,NO,"",N,14,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""39724.6803"", ""x_coord""=>""33468.3697"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 933 HOUGANG AVENUE 9"", ""car_park_decks""=>""14"", ""_id""=>153, ""car_park_no""=>""HG2B"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.90072044277575, 1.376371651580942]}","",HG2A,BLK 473 UPP SERANGOON CRESCENT,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 473 UPP SERANGOON CRESCENT,true,SUN & PH FR 7AM-10.30PM,"",N,2,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""39817.8795"", ""x_coord""=>""35501.0297"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 473 UPP SERANGOON CRESCENT"", ""car_park_decks""=>""2"", ""_id""=>152, ""car_park_no""=>""HG2A"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.89202517891917, 1.362915614957523]}","",HG2,BLK 15-18 HOUGANG AVE 3,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 15-18 HOUGANG AVE 3,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,9.99,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""38329.9531"", ""x_coord""=>""34533.3906"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""9.99"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 15-18 HOUGANG AVE 3"", ""car_park_decks""=>""0"", ""_id""=>151, ""car_park_no""=>""HG2"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88380195080377, 1.352844716076289]}","",HG19,BLK 138-145 LORONG AH SOO,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 138-145 LORONG AH SOO,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,5.40,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37216.3433"", ""x_coord""=>""33618.2651"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""5.40"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 138-145 LORONG AH SOO"", ""car_park_decks""=>""0"", ""_id""=>150, ""car_park_no""=>""HG19"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88895003719323, 1.3580556158341275]}","",HG18,BLK 230/232/234/236/238 HOUGANG AVENUE 1,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 230/232/234/236/238 HOUGANG AVENUE 1,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,2.40,NO,7AM-10.30PM,COUPON PARKING,"{""short_term_parking""=>""7AM-10.30PM"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37792.5508"", ""x_coord""=>""34191.1758"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.40"", ""car_park_basement""=>""N"", ""night_parking""=>""NO"", ""address""=>""BLK 230/232/234/236/238 HOUGANG AVENUE 1"", ""car_park_decks""=>""0"", ""_id""=>149, ""car_park_no""=>""HG18"", ""type_of_parking_system""=>""COUPON PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88795739942731, 1.3576748181825293]}","",HG17,BLK 231/233/235/237 HOUGANG STREET 21,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 231/233/235/237 HOUGANG STREET 21,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37750.4416"", ""x_coord""=>""34080.7076"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 231/233/235/237 HOUGANG STREET 21"", ""car_park_decks""=>""0"", ""_id""=>148, ""car_park_no""=>""HG17"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88809117730467, 1.3597257841696329]}","",HG16,BLK 211-212 HOUGANG STREET 21,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 211-212 HOUGANG STREET 21,false,NO,"",N,0,SURFACE CAR PARK,9.99,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37977.2274"", ""x_coord""=>""34095.5904"", ""free_parking""=>""NO"", ""gantry_height""=>""9.99"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 211-212 HOUGANG STREET 21"", ""car_park_decks""=>""0"", ""_id""=>147, ""car_park_no""=>""HG16"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.88671183440394, 1.358960171674292]}","",HG15,BLK 208-210 HOUGANG STREET 21,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 208-210 HOUGANG STREET 21,false,NO,"",N,0,SURFACE CAR PARK,9.99,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""37892.5664"", ""x_coord""=>""33942.0874"", ""free_parking""=>""NO"", ""gantry_height""=>""9.99"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 208-210 HOUGANG STREET 21"", ""car_park_decks""=>""0"", ""_id""=>146, ""car_park_no""=>""HG15"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
